b e c n w b:e b:c b:n b:w e:c e:n e:w c:n c:w n:w b:e:c b:e:n b:e:w b:c:n b:c:w b:n:w e:c:n e:c:w e:n:w c:n:w b:e:c:n b:e:c:w b:e:n:w b:c:n:w e:c:n:w
4296613.0196203 1572796.5655638 1697461.3402983 1602079.7790735 1442926.0014753 71874.1864549 81103.2298388 58824.6881431 59967.5816192 339476.8200514 205253.6411744 148785.6305508 185058.0368668 135879.8015304 414853.3942985 63603.8459729 33085.7842457 31795.4809173 33399.1593108 32001.2829211 57350.0117430 164523.1097395 126320.2915585 221004.4261238 186216.0056133 89716.8120715 82913.5265049 104774.1248207 93656.3650129 1662102.8689667
4304398.6336378 1571618.3099451 1696400.3562007 1601698.2831971 1440412.9272974 71317.8453018 80466.7423627 57715.1628023 58792.0629283 339714.2498976 203765.3430832 147519.6236032 184186.4796866 135105.6664959 414259.5845930 63245.0633131 32235.1465272 31489.2996411 32789.1143868 31554.9335189 56893.8397635 162910.2897609 126255.8532817 221076.6400893 185814.0963115 89315.3240695 82560.7881329 103869.0152489 93294.8476961 1674677.7964611
4294574.3560070 1575512.2541741 1697775.8112021 1601905.0472255 1444581.9918261 71610.4335420 79969.8342462 58247.3329137 59360.4484219 339329.3864020 204943.5293173 148158.3830200 184427.4822300 136054.6696619 414315.6018546 62820.1125473 33148.1916868 31221.6276221 33497.6153973 31876.6602410 56885.9985798 163792.5249295 126260.5925674 220188.6915033 186723.3505527 91059.5728935 82894.5789694 104041.2005967 94373.9068966 1667366.6197355
4306681.9405426 1574186.4717460 1696708.4683239 1599011.1539281 1441585.3837069 70826.6218556 80756.9749160 58070.2905137 59676.9759062 339544.6365590 203920.7352673 147795.2404908 183963.9727318 135224.7669751 415669.1307164 63291.4417336 32797.5184925 31034.5497271 33517.3903981 31785.4911969 57353.8092431 162994.5523552 125169.1976825 221413.6847052 185224.7443768 90876.1874640 82133.9350304 103796.7041960 94425.9674235 1674468.4353250
4301164.8250692 1573119.5554532 1696228.8432463 1601930.1453992 1441844.2546133 71730.9153319 80281.0983229 58918.5037805 60449.8633563 339315.8612142 205030.7106665 149324.9657517 185441.1333856 136215.7200016 415571.5235734 63301.3144802 33122.8790251 32038.9923616 33950.7615862 32331.2706244 57825.4169618 164277.5452240 127012.7777165 221040.9776245 186481.3071990 90332.7726341 83215.0041409 104673.6698713 94714.2036217 1668591.9182763
4306708.8319120 1571411.9835579 1696740.4784964 1600012.9621733 1440715.1861204 70960.9183460 80075.9436499 57496.4801371 59287.7665484 338511.2775828 204233.2590378 147281.1971028 184337.3666830 135376.2343263 414415.6565664 62817.5308148 32747.4589029 31700.7359761 32710.1813758 32019.8265976 56703.5652354 163612.7968500 125365.9481526 220619.9358044 185767.9635855 90096.8001120 82398.2787066 104484.9979995 93794.4716830 1677522.3895440
4300994.9750281 1572794.1042585 1697071.3380924 1601197.6887781 1438079.8693355 70440.3097238 79762.7624244 58311.7456846 59149.3801890 339635.2770434 203896.5995726 147784.0673276 184324.6088016 135433.0428516 414085.1041860 62576.3098014 32281.7153750 31413.5008820 32789.2715616 31576.4155489 57598.7159664 162984.7698288 126392.4769828 219794.8256139 185230.2850662 88626.0779371 82193.7001967 103678.9696276 93287.4278025 1676684.1540486
4302704.9036186 1571920.3661960 1697152.4078204 1601363.2271986 1441320.7081770 71717.3523548 80539.3953573 57973.8762301 59668.0221689 338587.2899593 204525.3180036 148195.4016873 184950.6902703 135685.2862841 414512.4824663 63269.5126201 32715.2021479 31703.5202225 32926.9320431 31790.9091863 56841.4976657 163850.3555478 125685.6321374 221698.4216996 186532.4970696 88936.7610248 82013.1665053 104600.8827406 93194.5939326 1669449.2593667
4294257.5160072 1572753.2640679 1697977.1103756 1600646.2317587 1440810.0455349 71811.7727454 80311.9825790 58425.0120567 59578.4629569 338414.2010828 204538.2988539 148049.6550365 185076.5410707 135976.9295503 414814.1964086 63422.3896882 33021.0524065 31925.5199667 33245.9982633 32011.1843776 57304.5277334 162899.4777813 125756.2418100 220453.2059553 186261.0864901 89117.5449001 82726.6103378 104896.3239555 94031.9522331 1667667.2187707
4291982.0167529 1574326.8725207 1697288.4380444 1603701.1335350 1441557.7204653 71322.3492926 80274.5605085 58122.4571632 58989.2756221 339985.0617905 204700.3057516 147901.8549857 185081.9426591 135648.4004194 413635.7734393 63164.7537984 32845.3436632 31646.8987592 32979.1214567 31880.7838915 57606.1727931 163346.3611656 126232.5353016 219796.1804249 185143.4426503 90171.0130710 83220.4946013 104140.7157556 93966.4438345 1667137.3658174
4309193.8263435 1571445.3366615 1695400.8482366 1597737.6128695 1440268.1224350 70308.0498472 79190.8762850 57701.3228664 59580.9769492 339298.1565697 204378.0171739 147315.0131876 184213.7177351 134980.2246850 414454.9097125 62632.7197694 32623.1267249 31202.8936361 32941.6832718 31817.0874176 57859.3957151 163876.9503170 125255.1481306 219874.1088722 184848.8672293 90082.4796646 81657.2251320 104019.4688839 93855.5102399 1680057.8712369
4300272.7288588 1574274.6534777 1697478.4518633 1601930.0215584 1443210.2870667 70942.1123187 79929.7707548 58198.6201125 58933.1234328 339459.3855672 204070.8246925 148093.1738924 184679.4969492 135796.0617211 414321.0179254 62731.9612457 32807.9735919 31235.1845465 33086.2848623 31653.3471498 56820.3889831 163263.4402824 126514.1648104 220355.7516772 185719.2039203 89825.8751502 82038.4448568 103861.9891464 93608.7557538 1672175.2532178
4291713.2033700 1574003.3244725 1697936.9157581 1600326.3948660 1445088.3970830 71602.8645897 80760.1720720 58680.0689412 61017.2231396 341029.1727956 205593.7849170 147939.4089558 185256.3396107 135968.5138223 416216.9316694 63265.5869672 32990.0549448 31638.3882040 33288.4518829 32148.2179963 58034.1703207 166259.9371192 126582.2992548 220900.4348778 185896.4450765 89792.1498859 82347.9067695 104271.9386175 94767.6397198 1665501.1914938
4303660.5648101 1573597.8287050 1696286.7504613 1603129.7776897 1443172.9095157 71798.2430321 80543.2750047 58662.5739551 60412.2554540 340325.8484653 204156.1578214 148647.8530942 185104.1242084 136054.7224924 414145.7423593 63397.8552736 33445.6323518 31869.0453144 33979.2852248 32015.6021097 58173.2284525 164133.5924486 126248.8145666 220986.0225362 186103.4702031 91699.8570013 82668.8626976 104758.8433785 94449.6964292 1671290.4457673
4303296.9501527 1572866.6403058 1696567.6694729 1602489.1885396 1442290.9511480 70518.8385578 80045.5636670 58928.1245469 59685.7644812 340062.6491042 204317.1518423 148355.7965429 184476.9072978 135812.3272363 412695.5189844 62405.9271018 32734.9688355 31251.6458515 33373.7165984 31860.8072495 57692.7592073 164424.4355390 126716.0218230 220147.0025577 184422.8270840 90320.2081593 82255.9637272 104309.5867366 94020.0496962 1674266.4002074
4294204.4403266 1573799.7446403 1697497.9448974 1602580.6083955 1445922.7238240 71680.7435910 80320.2915065 57786.0860364 60243.6093396 339615.7489112 205336.2360984 148217.5559483 185053.0237796 135948.3724377 415361.8277709 63458.8230850 32801.8842365 31701.6501432 33402.9197738 32185.2339842 57689.9633860 164298.8217008 125823.9076967 219734.4203816 185807.6877810 89863.4319945 82429.9361066 104714.8371412 94948.3052750 1662208.1548417
4302080.1544099 1572020.0328090 1695175.9265863 1601538.6578619 1443697.1538200 71111.0413804 79979.1829250 57598.9202922 59624.3308136 340472.5709971 203828.1349179 147011.9226739 184260.3688745 135273.1021345 414347.2312772 62711.4325428 32177.7242504 31301.7542781 32820.1758299 31576.0760434 57138.3929853 163961.6901617 125531.6334319 219606.2213401 185720.6245286 88644.6822457 81914.9741385 103838.2470785 93298.9081636 1667056.2213672
4300285.9384631 1572334.9871259 1697407.0021874 1603573.2886267 1442034.7014735 71076.2635010 80596.6561406 58837.1811642 60635.1130938 339324.5331863 204265.1829298 148569.6430040 184556.9955198 135592.6501680 413922.0448269 63438.0148808 32759.2627712 31456.1819061 33496.1107473 32085.3690520 57375.8791761 164081.4978815 126806.4603491 220781.5355441 184862.4539496 90616.4457526 83025.4582143 104196.1970575 93760.9663459 1665187.2430474
4298098.6782043 1574558.6950765 1698448.3894859 1600168.9749956 1442839.4242115 71224.0096770 80555.7473748 58307.1255043 59448.0432972 339751.9266101 204860.4933271 148696.4598071 184873.3989773 135516.7299955 412944.4560067 62764.4764070 32636.0566415 31430.9913095 33247.7096782 32007.0679075 57757.0107228 164015.8937451 126413.5567697 221246.0439802 185569.5842265 90056.2593661 82390.0695256 104389.8071355 94636.3959772 1665696.2992449
